name,calories,proteins,fat,carbohydrate,porsi saji,Kalium,Fosfor,Natrium,status HD,kategori klinis,cairan
Abon,280.0,9.2,28.4,0.0,30g,81.2,179.4,847.4,Hindari,Rendah Kalium & Tinggi Natrium,60.9
Abon haruwan,513.0,23.7,37.0,21.3,30g,134.6,277.8,608.7,Hindari,Tinggi Fosfor & Tinggi Natrium,16.5
Agar-agar,0.0,0.0,0.2,0.0,100g,41.3,31.3,13.0,Batasi,Rendah Kalium & Tinggi Cairan,98.3
Akar tonjong segar,45.0,1.1,0.4,10.8,100g,37.9,26.2,9.8,Batasi,Rendah Kalium & Tinggi Cairan,86.2
Aletoge segar,37.0,4.4,0.5,3.8,100g,122.4,46.1,6.2,Batasi,Tinggi Cairan,89.8
Alpukat segar,85.0,0.9,6.5,7.7,100g,317.3,18.6,1.8,Hindari,Tinggi Kalium & Tinggi Cairan,83.4
Ampas kacang hijau,96.0,3.7,0.6,19.1,100g,458.7,228.2,12.8,Hindari,Tinggi Kalium & Tinggi Fosfor,75.1
Ampas Tahu,414.0,26.6,18.3,41.3,100g,688.8,415.5,16.5,Hindari,Tinggi Kalium & Tinggi Fosfor,12.3
Ampas tahu kukus,75.0,4.1,2.1,10.7,100g,446.0,248.4,12.6,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,81.6
Ampas tahu mentah,67.0,5.0,2.1,8.1,100g,516.3,259.8,10.8,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,83.3
Anak sapi daging gemuk segar,184.0,18.8,14.0,0.0,100g,379.9,276.3,66.7,Hindari,Tinggi Kalium & Tinggi Fosfor,65.7
Anak sapi daging kurus segar,174.0,19.6,10.0,0.0,100g,328.6,281.1,66.6,Hindari,Tinggi Kalium & Tinggi Fosfor,68.9
Anak sapi daging sedang segar,190.0,19.1,12.0,0.0,100g,379.8,295.3,64.1,Hindari,Tinggi Kalium & Tinggi Fosfor,67.4
Andaliman segar,99.0,4.6,1.0,18.0,100g,65.9,43.9,9.1,Aman,Rendah Kalium,74.9
Andewi,25.0,1.6,0.2,5.3,100g,49.0,50.7,13.4,Batasi,Rendah Kalium & Tinggi Cairan,91.4
Anggur hutan segar,30.0,0.5,0.2,6.8,100g,90.7,14.2,1.7,Batasi,Rendah Kalium & Tinggi Cairan,91.0
Angsa,354.0,16.4,31.5,0.0,100g,97.0,113.7,16.1,Batasi,Rendah Kalium,50.6
Anyang sayur,126.0,3.4,7.9,10.3,100g,153.5,36.9,7.4,Batasi,Normal / Seimbang,76.9
Apel,58.0,0.3,0.4,14.9,100g,113.1,15.7,1.6,Batasi,Tinggi Cairan,82.9
Apel Hijau,57.0,0.5,0.4,12.8,100g,107.5,9.9,1.0,Batasi,Tinggi Cairan,84.8
Arbei,37.0,0.8,0.5,8.3,100g,57.6,49.4,11.7,Batasi,Rendah Kalium & Tinggi Cairan,88.9
Ares sayur,113.0,0.9,7.2,11.2,200g,155.5,30.5,6.7,Batasi,Normal / Seimbang,79.2
Arrowroot segar,102.0,1.0,0.2,24.1,100g,61.0,51.8,11.9,Aman,Rendah Kalium,73.2
Arwan sirsir,277.0,2.4,25.0,10.7,100g,70.2,24.8,15.3,Aman,Rendah Kalium,60.4
Asam kandis segar,75.0,0.2,1.1,16.1,100g,52.8,33.5,12.4,Batasi,Rendah Kalium & Tinggi Cairan,81.1
Asam masak di pohon,239.0,2.8,0.6,62.5,100g,63.9,45.8,13.4,Aman,Rendah Kalium,32.6
Asam payak segar,135.0,0.8,0.4,32.1,100g,72.5,34.5,8.8,Aman,Rendah Kalium,65.2
Asan kandis kering,261.0,0.9,1.6,63.3,100g,69.5,46.4,13.3,Aman,Rendah Kalium,8.0
Asinan Bogor sayuran,98.0,3.9,2.6,14.8,100g,141.4,137.1,774.4,Hindari,Tinggi Natrium,77.2
Ayam,302.0,18.2,25.0,0.0,100g,353.5,281.8,53.3,Hindari,Tinggi Kalium & Tinggi Fosfor,55.3
Ayam  goreng Kentuckysayap,297.0,35.9,15.2,1.6,100g,463.4,422.4,65.0,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam ampela goreng,270.0,32.3,11.2,9.9,100g,433.0,375.3,61.6,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam dideh/darah segar,75.0,13.8,1.9,0.7,100g,329.0,243.9,63.7,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,82.1
Ayam goreng church texa sayap,295.0,34.0,16.0,1.5,100g,455.1,427.6,66.4,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam goreng church texas dada,338.0,35.2,20.6,0.4,100g,458.8,413.1,49.6,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam goreng kalasan paha,275.0,37.4,12.2,1.3,100g,465.2,431.2,84.7,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam goreng kentucky dada,298.0,34.2,16.8,0.1,100g,444.3,410.1,64.7,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam goreng Kentucky paha,286.0,32.1,16.1,1.1,100g,413.2,404.5,71.0,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam goreng mbok berek dada,295.0,39.2,13.6,1.0,100g,491.4,433.1,76.2,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam goreng paha,287.0,31.0,15.7,1.7,100g,402.5,389.5,82.5,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam goreng pasundan dada,246.0,37.9,9.0,0.7,100g,448.6,427.5,65.8,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam goreng pasundan paha,245.0,33.1,11.4,0.3,100g,432.0,379.6,65.5,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam goreng pioneer dada,295.0,37.4,14.7,0.6,100g,444.5,436.2,57.6,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam goreng sukabumi dada,244.0,36.7,9.2,1.0,100g,492.8,415.9,62.4,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam goreng sukabumi paha,283.0,35.7,14.3,0.5,100g,472.6,403.0,66.8,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ayam hati segar,261.0,27.4,16.1,1.6,100g,436.8,336.2,66.5,Hindari,Tinggi Kalium & Tinggi Fosfor,53.4
Ayam taliwang masakan,264.0,18.2,20.1,2.7,100g,365.3,295.9,55.1,Hindari,Tinggi Kalium & Tinggi Fosfor,57.5
Ayam usus goreng,473.0,45.2,26.3,13.9,100g,482.2,495.3,67.4,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Babat,113.0,17.6,4.2,0.0,100g,108.6,117.0,9.3,Batasi,Normal / Seimbang,76.7
Babi daging gemuk segar,453.0,11.9,45.0,0.0,100g,330.1,242.8,59.3,Hindari,Tinggi Kalium & Tinggi Fosfor,41.6
Babi daging kurus segar,371.0,14.1,35.0,0.0,100g,374.9,261.4,55.5,Hindari,Tinggi Kalium & Tinggi Fosfor,49.4
Babi ginjal segar,110.0,16.3,4.6,0.8,100g,362.8,260.6,71.3,Hindari,Tinggi Kalium & Tinggi Fosfor,76.8
Babi hati segar,129.0,19.7,4.8,1.7,100g,391.5,287.9,72.7,Hindari,Tinggi Kalium & Tinggi Fosfor,72.3
Babi hutan masak rica masakan,491.0,24.6,16.3,0.2,100g,403.6,344.4,80.2,Hindari,Tinggi Kalium & Tinggi Fosfor,57.4
Bacang,102.9,3.3,2.7,16.3,100g,61.1,43.8,8.4,Batasi,Rendah Kalium,76.2
Bagea kelapa asin,450.0,3.2,13.9,78.1,100g,403.7,150.4,685.5,Hindari,Tinggi Kalium & Tinggi Natrium,3.3
Bagea kelapa manis,452.0,1.3,13.8,80.6,100g,418.9,19.6,1.8,Hindari,Tinggi Kalium,2.8
Bagea kenari asin,529.0,3.2,29.1,63.6,100g,103.4,176.5,530.1,Hindari,Tinggi Natrium,2.6
Bagea kenari manis,523.0,3.2,28.2,64.2,100g,80.1,55.1,13.9,Aman,Rendah Kalium,2.9
Bagea kw 1,416.0,6.5,9.4,76.3,100g,97.7,57.5,5.9,Aman,Rendah Kalium,6.3
Bagea kw 2,382.0,0.3,3.5,87.2,100g,77.4,43.2,12.9,Aman,Rendah Kalium,7.5
Baje,129.0,1.9,6.6,15.6,100g,47.9,44.9,13.5,Aman,Rendah Kalium,74.4
Bakpia kue,272.0,8.7,6.7,44.1,30g,86.0,75.4,12.2,Aman,Rendah Kalium,39.0
Bakso ,76.0,4.1,2.5,9.2,100g,53.9,192.7,794.2,Hindari,Rendah Kalium & Tinggi Natrium & Tinggi Cairan,82.7
Bakung segar,27.0,2.0,0.2,4.2,100g,42.7,36.5,14.1,Batasi,Rendah Kalium & Tinggi Cairan,92.1
Bakwan,280.0,8.2,10.2,39.0,100g,93.4,76.0,27.4,Aman,Rendah Kalium,41.1
Baligo,13.0,0.4,0.2,3.0,100g,52.2,45.9,15.8,Batasi,Rendah Kalium & Tinggi Cairan,94.9
Bantal,190.0,3.3,0.3,43.5,100g,79.2,47.3,15.0,Aman,Rendah Kalium,51.4
Barongko,159.0,3.1,5.8,23.5,100g,59.1,47.1,10.1,Aman,Rendah Kalium,66.1
Batang Tading,137.0,4.3,4.8,19.1,100g,68.3,72.9,4.5,Aman,Rendah Kalium,70.3
Batar daan,107.0,2.2,2.2,19.6,100g,66.0,32.0,10.1,Aman,Rendah Kalium,74.5
Batatas gembili segar,76.0,1.1,0.9,16.0,100g,64.0,40.5,7.7,Batasi,Rendah Kalium & Tinggi Cairan,80.5
Batatas kelapa ubi bakar,110.0,1.4,1.1,23.4,100g,384.2,34.0,6.5,Hindari,Tinggi Kalium,72.6
Batatas kelapa ubi kukus,92.0,1.2,0.3,21.0,100g,403.2,30.6,6.7,Hindari,Tinggi Kalium,76.0
Batatas kelapa ubi segar,89.0,1.1,0.1,21.0,100g,451.4,32.5,3.9,Hindari,Tinggi Kalium,76.3
Batatas tali ubi rebus,182.0,2.4,0.4,42.2,100g,440.6,33.2,9.7,Hindari,Tinggi Kalium,53.5
Bawang Bombay,45.0,1.4,0.2,10.3,100g,132.8,30.8,9.0,Batasi,Tinggi Cairan,86.6
Bawang Merah,39.0,1.5,0.3,0.2,100g,140.6,26.9,7.3,Batasi,Tinggi Cairan,96.5
Bawang Putih,95.0,4.5,0.2,23.1,100g,152.0,42.6,11.5,Batasi,Normal / Seimbang,70.7
Bayam kukus,30.0,1.3,0.7,5.8,100g,275.2,144.6,72.3,Batasi,Tinggi Cairan,90.7
Bayam Merah,51.0,4.6,0.5,10.0,100g,327.7,196.9,52.8,Hindari,Tinggi Kalium & Tinggi Cairan,83.4
Bayam merah segar,41.0,2.2,0.8,6.3,100g,262.4,181.7,59.3,Batasi,Tinggi Cairan,89.2
Bayam rebus,23.0,1.2,0.6,3.7,100g,275.5,168.3,57.6,Batasi,Tinggi Cairan,93.0
Bayam segar,36.0,3.5,0.5,6.5,100g,278.1,137.4,56.8,Batasi,Tinggi Cairan,88.0
Bayam tumis + oncom,102.0,3.7,6.7,6.9,100g,450.7,230.9,21.5,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,81.2
Bayam tumis bersantan,48.0,1.4,4.2,2.6,100g,239.1,155.2,66.0,Batasi,Tinggi Cairan,90.3
Bebek (itik),326.0,16.0,28.6,0.0,100g,376.8,252.8,74.3,Hindari,Tinggi Kalium & Tinggi Fosfor,53.9
Bebek alabio daging segar,303.0,11.3,27.0,3.7,100g,322.4,223.0,68.7,Hindari,Tinggi Kalium & Tinggi Fosfor,56.5
Bebek daging goreng,300.0,24.0,20.7,4.5,100g,396.0,322.8,65.6,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Beberuk,65.0,1.1,5.2,3.5,100g,47.2,40.9,14.6,Batasi,Rendah Kalium & Tinggi Cairan,88.7
Beef burger,258.0,10.6,9.5,32.5,100g,107.8,72.8,20.5,Aman,Normal / Seimbang,45.9
Beef teriyaki masakan,151.0,8.6,3.1,22.3,100g,68.4,72.5,14.4,Aman,Rendah Kalium,64.5
Beef yakiniku masakan,132.0,9.8,1.1,20.7,100g,89.8,74.1,11.2,Aman,Rendah Kalium,66.9
Bekasam,116.0,11.9,4.9,6.1,100g,85.1,83.8,15.4,Batasi,Rendah Kalium,75.6
Bekasang,78.0,11.4,2.0,3.6,100g,89.2,80.8,15.6,Batasi,Rendah Kalium & Tinggi Cairan,81.5
Belibis daging segar,131.0,20.2,4.3,2.8,100g,377.2,311.3,70.0,Hindari,Tinggi Kalium & Tinggi Fosfor,71.2
Belimbing,36.0,0.4,0.4,8.8,100g,43.3,32.3,15.0,Batasi,Rendah Kalium & Tinggi Cairan,88.9
Belitung talas kukus,145.0,1.2,0.4,34.2,100g,436.8,30.3,8.2,Hindari,Tinggi Kalium,62.7
Belut goreng,417.0,25.9,19.4,32.0,100g,428.0,337.2,69.4,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Belut segar,70.0,14.6,0.8,1.0,100g,336.3,256.9,73.8,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,82.1
Belutlaut segar,93.0,12.8,1.5,6.1,100g,346.9,255.8,75.4,Hindari,Tinggi Kalium & Tinggi Fosfor,78.1
Bengkuang,55.0,1.4,0.2,12.8,100g,55.2,46.8,10.8,Batasi,Rendah Kalium & Tinggi Cairan,84.1
Bentul (Komba)  talas segar,98.0,1.6,0.7,20.9,100g,405.7,31.7,8.2,Hindari,Tinggi Kalium,75.3
Bentul talas kukus,71.0,2.3,0.3,15.4,100g,402.6,32.1,12.2,Hindari,Tinggi Kalium & Tinggi Cairan,80.5
Beras Cerdas,350.0,2.7,1.1,82.3,100g,79.3,37.4,16.6,Aman,Rendah Kalium,12.4
Beras ganyong,364.0,3.4,0.7,86.3,100g,243.1,42.8,9.3,Batasi,Normal / Seimbang,8.1
